sent_id,sentence,subj,rel,obj,rule
10629,激光器一般由三大部分组成：工作物质、激励能源和谐振腔。,激光器一般,COMPOSED_OF,三大部分,COMPOSED_OF_YOU_ZUCHENG_V1
12123,激光器由三个主要部分组成：第一部分称为工作物质，是保证受激而产生激光的物质；第二部分称为激发源，不断给产生激光的物质补充能量；第三部分称为谐振腔，它是激光振荡器，通过腔的振荡不断放大，从而保证激光输出。,激光器,COMPOSED_OF,三个主要部分,COMPOSED_OF_YOU_ZUCHENG_V1
13338,独体字由笔画构成，合体字则由偏旁构成。,独体字,COMPOSED_OF,笔画,COMPOSED_OF_YOU_ZUCHENG_V1
13343,部件是由笔画构成的具有组配汉字功能的构字单位。,部件,COMPOSED_OF,笔画,COMPOSED_OF_YOU_ZUCHENG_V1
13473,从这个定义中不难发现，机器视觉系统由三部分组成，一是图像拍摄装置，二是图像处理系统，三是现场执行设备。,机器视觉系统,COMPOSED_OF,三部分,COMPOSED_OF_YOU_ZUCHENG_V1
15146,所有的分子都由原子构成。,所有的分子,COMPOSED_OF,原子,COMPOSED_OF_YOU_ZUCHENG_V1
15148,足球是由什么材料制成的？,足球,COMPOSED_OF,什么材料,COMPOSED_OF_YOU_ZUCHENG_V1
17169,分子是组成物质的基本单位，分子是由原子构成的。,分子,COMPOSED_OF,原子,COMPOSED_OF_YOU_ZUCHENG_V1
17316,它由两种小的微粒组成，这两种微粒是质子和中子。,它,COMPOSED_OF,两种小的微粒,COMPOSED_OF_YOU_ZUCHENG_V1
17407,星云由气体和尘埃组成的云雾状天体。,星云,COMPOSED_OF,气体和尘埃,COMPOSED_OF_YOU_ZUCHENG_V1
17769,任何静电场都是由许多个电容组成的，有静电场就有电容，电容是用静电场描述的。,任何静电场,COMPOSED_OF,个电容,COMPOSED_OF_YOU_ZUCHENG_V1
18161,一个国家是由多个行政区组成的的整体。,国家,COMPOSED_OF,多个行政区,COMPOSED_OF_YOU_ZUCHENG_V1
18200,光是由许多光子组成的。,光,COMPOSED_OF,光子,COMPOSED_OF_YOU_ZUCHENG_V1
18827,分子云主要由氢分子等组成。,分子云,COMPOSED_OF,氢分子等,COMPOSED_OF_YOU_ZUCHENG_V1
19367,迄今，已经确认的酶包括两种类型，即由蛋白质组成的酶和被称为"核酶"的由核糖核酸组成的酶。,酶,COMPOSED_OF,蛋白质,COMPOSED_OF_YOU_ZUCHENG_V1
20346,而黑尔在考虑了周边是曲线时，无论是曲线向外凸，还是向内凹，都证明了由许多正六边形组成的图形周长最小。,都证明了,COMPOSED_OF,正六边形,COMPOSED_OF_YOU_ZUCHENG_V1
20778,碳酸是由碳和氧组成的化合物。,碳酸,COMPOSED_OF,碳和氧,COMPOSED_OF_YOU_ZUCHENG_V1
23252,轮由轮和轴组成的能绕轴心转动的简单机械叫做轮轴。,轮,COMPOSED_OF,轮和轴,COMPOSED_OF_YOU_ZUCHENG_V1
23720,物质是由微粒构成的，但这些微粒又是什么呢？,物质,COMPOSED_OF,微粒,COMPOSED_OF_YOU_ZUCHENG_V1
23724,有的分子只由一个原子构成，称为单原子分子，如氢和氦等稀有气体的分子属于此类。,有的分子,COMPOSED_OF,一个原子,COMPOSED_OF_YOU_ZUCHENG_V1
23728,氧分子由两个氧原子构成：一氧化碳分子，由一个氧原子和一个碳原子构成。,氧分子,COMPOSED_OF,两个氧原子,COMPOSED_OF_YOU_ZUCHENG_V1
23804,氢气只是由一种原子构成的，所以氢气的分子属于单原子分子。,氢气,COMPOSED_OF,原子,COMPOSED_OF_YOU_ZUCHENG_V1
26408,化合物是由不同元素组成的分子。,化合物,COMPOSED_OF,不同元素,COMPOSED_OF_YOU_ZUCHENG_V1
26902,这片防风林由12行树构成。,这片防风林,COMPOSED_OF,12行树,COMPOSED_OF_YOU_ZUCHENG_V1
32781,由短周期元素和长周期元素共同构成的族，叫做主族；完全由长周期元素构成的族，叫做副族。,副族,COMPOSED_OF,长周期元素,COMPOSED_OF_YOU_ZUCHENG_V1
32894,溶液是由溶剂和溶质组成的。,溶液,COMPOSED_OF,溶剂和溶质,COMPOSED_OF_YOU_ZUCHENG_V1
