sent_id,sentence,subj,rel,obj,rule
21723,选择育种和基因工程是用来繁殖培育更符合我们意愿的动物和植物的一种常用方法。,选择育种和基因工程,USED_FOR,繁殖培育更符合我们意愿,USED_FOR_SHI_YONGLAI_DE
21723,选择育种和基因工程是用来繁殖培育更符合我们意愿的动物和植物的一种常用方法。,选择育种和基因工程是,USED_FOR,繁殖培育更符合我们意愿的动物和植物的一种常用方法,USED_FOR_YONGLAI
21728,"基因工程就是由基因工程师从动植物的 DNA 中区分出单个基因，然后将这个基因""切割""下来，并引入其他细胞中用于复制。",并引入其他细胞中,USED_FOR,复制,USED_FOR_YONGYU
22534,整式的各项系数一般都是有理数，因而关于数的运算规律也适用于整式运算。,因而关于数的运算规律也适,USED_FOR,整式运算,USED_FOR_YONGYU
23458,这就是说，经典力学一般不适用于微观粒子，只适用于宏观物体。,经典力学一般不适,USED_FOR,微观粒子,USED_FOR_YONGYU
23458,这就是说，经典力学一般不适用于微观粒子，只适用于宏观物体。,只适,USED_FOR,宏观物体,USED_FOR_YONGYU
23960,"""由……组成""、""由……构成""经常被用来表示事物的成分或形状等；在描述时还经常与""是……的""一起使用。","构成""经常被",USED_FOR,表示事物的成分或形状,USED_FOR_YONGLAI
24191,新制的蒸馏水不宜用于养金鱼，是因为蒸馏水中含有较少的：氧分子。,新制的蒸馏水不宜,USED_FOR,养金鱼,USED_FOR_YONGYU
25083,存储器是用来存放程序和数据的。,存储器,USED_FOR,存放程序和数据,USED_FOR_SHI_YONGLAI_DE
25083,存储器是用来存放程序和数据的。,存储器是,USED_FOR,存放程序和数据的,USED_FOR_YONGLAI
26209,国际上通常用于克来做重量的单位而不是重力的单位。,国际上通常,USED_FOR,克来做重量的单位而不是重力的单位,USED_FOR_YONGYU
26879,在元素周期表的左方是典型的金属元素，如钠、钾、镁、钙等；在元素周期表的右方是典型的非金属元素，如氟、氯、氧、硫等；在元素周期表中部的过渡金属元素中，有我们熟悉的铁、铜、锌、金、银等；在元素周期表中部偏右处是一些常用于信息技术中的、具有半导体功能的元素，如硅、锗、砷等；在元素周期表的下方是放射性元素，其中有一些是人工制造的。,在元素周期表中部偏右处是一些常,USED_FOR,信息技术中的、具有半导体功能的元素,USED_FOR_YONGYU
26898,"""组成""可用于事物或人的组合，部分或个体与整体多为平面的组合关系，如： 我们班是由来自不同国家的同学组成的。","组成""可",USED_FOR,事物或人的组合,USED_FOR_YONGYU
26900,"""构成""只用于指事物的组成，由人组成的集体不能用构成；强调各部分联系较密切，各部分与整体的组合关系多为立体的。","构成""只",USED_FOR,指事物的组成,USED_FOR_YONGYU
26998,所谓汉字，就是用来记录汉语的书面符号。,就是,USED_FOR,记录汉语的书面符号,USED_FOR_YONGLAI
38773,铝的重要化合物 氧化铝 氧化铝是白色难熔的物质，是冶炼金属铝的原料，也是一种比较好的耐火材料，可以用来制造耐火坩埚等。,可以,USED_FOR,制造耐火坩埚,USED_FOR_YONGLAI
